i,Length_LCS,time
10,2,0
20,3,0
30,6,0
40,8,0
50,8,0
60,13,0
70,14,0
80,13,0
90,18,0
100,22,0
110,20,0.001
120,24,0
130,27,0
140,29,0
150,31,0
160,32,0
170,34,0
180,36,0
190,36,0.001
200,41,0.001
210,45,0.001
220,50,0
230,52,0.001
240,50,0
250,55,0.001
260,56,0
270,54,0.002
280,57,0.001
290,63,0.001
300,62,0.001
310,70,0.001
320,72,0
330,68,0.001
340,73,0
350,79,0
360,80,0.002
370,80,0.001
380,81,0
390,80,0
400,87,0.004
410,92,0.001
420,90,0.001
430,97,0.001
440,92,0.002
450,98,0.001
460,100,0.001
470,100,0.001
480,104,0.001
490,109,0.002
500,110,0.002
510,117,0.001
520,113,0.004
530,115,0.001
540,116,0.001
550,124,0.005
560,123,0.003
570,122,0.001
580,123,0
590,125,0.009
600,132,0.003
610,134,0.003
620,133,0.003
630,139,0
640,133,0.007
650,139,0.003
660,144,0.006
670,153,0.003
680,145,0.003
690,145,0.004
700,151,0.002
710,154,0
720,160,0.01
730,161,0.002
740,169,0.007
750,169,0.004
760,168,0.005
770,168,0.001
780,170,0.007
790,173,0.006
800,176,0.006
810,170,0.001
820,180,0.009
830,184,0
840,191,0.01
850,185,0.004
860,190,0.008
870,192,0.005
880,189,0.006
890,195,0
900,193,0.012
910,195,0.007
920,206,0.007
930,195,0.005
940,207,0.008
950,210,0
960,214,0.016
970,214,0.009
980,224,0.01
990,216,0
1000,220,0.015
1010,216,0.008
1020,215,0.006
1030,233,0.007
1040,229,0.01
1050,227,0
1060,237,0.019
1070,247,0.01
1080,237,0.001
1090,238,0.018
1100,239,0.008
1110,244,0.008
1120,252,0.007
1130,257,0
1140,248,0.019
1150,255,0.014
1160,252,0
1170,261,0.018
1180,259,0.014
1190,267,0.009
1200,256,0.01
1210,269,0.011
1220,266,0
1230,272,0.018
1240,273,0.016
1250,276,0.01
1260,282,0
1270,286,0.019
1280,281,0.02
1290,285,0.012
1300,286,0.022
1310,295,0.014
1320,289,0.012
1330,298,0.009
1340,304,0
1350,305,0.007
1360,302,0.016
1370,308,0.014
1380,302,0.015
1390,305,0.016
1400,308,0.016
1410,320,0.023
1420,318,0.011
1430,314,0.016
1440,315,0.018
1450,317,0.016
1460,326,0.026
1470,327,0.013
1480,323,0.012
1490,336,0.028
1500,331,0.026
1510,325,0.024
1520,329,0.017
1530,341,0.012
