i,Length_LCS,time
10,1,0.000000
20,3,0.000000
30,4,0.000000
40,6,0.000000
50,9,0.000000
60,10,0.000000
70,15,0.001000
80,16,0.000000
90,17,0.000000
100,20,0.000000
110,23,0.000000
120,24,0.001000
130,26,0.000000
140,29,0.000000
150,32,0.000000
160,33,0.000000
170,36,0.000000
180,36,0.000000
190,41,0.000000
200,38,0.001000
210,44,0.000000
220,45,0.000000
230,49,0.000000
240,55,0.000000
250,49,0.000000
260,51,0.000000
270,54,0.001000
280,56,0.000000
290,67,0.001000
300,67,0.000000
310,66,0.000000
320,67,0.002000
330,72,0.000000
340,77,0.000000
350,71,0.001000
360,82,0.000000
370,77,0.000000
380,79,0.001000
390,86,0.000000
400,85,0.001000
410,92,0.000000
420,92,0.001000
430,94,0.000000
440,104,0.002000
450,98,0.001000
460,94,0.001000
470,99,0.001000
480,104,0.001000
490,108,0.001000
500,107,0.002000
510,110,0.001000
520,114,0.001000
530,114,0.000000
540,118,0.000000
550,124,0.003000
560,122,0.001000
570,122,0.001000
580,129,0.001000
590,128,0.001000
600,136,0.000000
610,141,0.002000
620,140,0.002000
630,141,0.001000
640,139,0.000000
650,143,0.000000
660,141,0.000000
670,141,0.006000
680,151,0.002000
690,151,0.002000
700,157,0.003000
710,161,0.002000
720,154,0.002000
730,162,0.001000
740,160,0.002000
750,162,0.002000
760,163,0.003000
770,164,0.003000
780,176,0.002000
790,171,0.000000
800,176,0.007000
810,175,0.004000
820,176,0.000000
830,180,0.006000
840,183,0.002000
850,186,0.002000
860,188,0.003000
870,190,0.003000
880,194,0.001000
890,191,0.000000
900,199,0.006000
910,203,0.004000
920,204,0.000000
930,204,0.007000
940,215,0.002000
950,213,0.003000
960,210,0.005000
970,211,0.001000
980,219,0.005000
990,220,0.003000
1000,216,0.000000
1010,222,0.009000
1020,225,0.002000
1030,227,0.005000
1040,233,0.003000
1050,232,0.006000
1060,236,0.004000
1070,229,0.005000
1080,232,0.002000
1090,241,0.005000
1100,243,0.004000
1110,245,0.006000
1120,247,0.001000
1130,251,0.008000
1140,251,0.003000
1150,248,0.008000
1160,247,0.002000
1170,267,0.010000
1180,263,0.005000
1190,261,0.006000
1200,261,0.006000
1210,266,0.006000
1220,269,0.003000
1230,273,0.009000
1240,274,0.001000
1250,275,0.011000
1260,277,0.006000
1270,280,0.006000
1280,280,0.009000
1290,291,0.008000
1300,287,0.008000
1310,291,0.001000
1320,285,0.008000
1330,298,0.006000
1340,288,0.005000
1350,294,0.016000
1360,300,0.010000
1370,299,0.010000
1380,305,0.009000
1390,316,0.005000
1400,308,0.010000
1410,314,0.005000
1420,314,0.009000
1430,319,0.010000
1440,320,0.003000
1450,317,0.010000
1460,336,0.001000
1470,325,0.015000
1480,325,0.001000
1490,329,0.014000
1500,336,0.009000
1510,345,0.007000
1520,341,0.002000
1530,347,0.013000
1540,335,0.001000
1550,343,0.014000
1560,349,0.003000
1570,345,0.013000
1580,355,0.004000
1590,344,0.013000
1600,352,0.002000
1610,357,0.014000
1620,362,0.002000
1630,366,0.017000
1640,364,0.009000
1650,371,0.008000
1660,368,0.014000
1670,373,0.001000
1680,371,0.021000
1690,375,0.011000
1700,380,0.002000
1710,378,0.016000
1720,383,0.010000
1730,389,0.007000
1740,389,0.016000
1750,389,0.000000
1760,401,0.017000
1770,401,0.016000
1780,392,0.000000
1790,398,0.019000
1800,406,0.014000
1810,399,0.009000
1820,415,0.008000
1830,403,0.016000
1840,407,0.015000
1850,414,0.002000
1860,418,0.018000
1870,421,0.015000
1880,422,0.010000
1890,426,0.007000
1900,428,0.016000
1910,418,0.018000
1920,433,0.016000
1930,430,0.015000
1940,435,0.001000
1950,444,0.007000
1960,438,0.013000
1970,440,0.014000
1980,443,0.017000
1990,444,0.017000
2000,445,0.017000
2010,446,0.017000
2020,447,0.000000
2030,453,0.021000
2040,450,0.018000
2050,459,0.006000
2060,460,0.027000
2070,453,0.018000
2080,458,0.018000
2090,466,0.017000
2100,468,0.018000
2110,473,0.016000
2120,474,0.016000
2130,478,0.028000
2140,479,0.020000
2150,476,0.019000
2160,485,0.018000
2170,480,0.011000
2180,487,0.022000
2190,486,0.017000
2200,494,0.027000
2210,503,0.021000
2220,493,0.017000
2230,495,0.016000
2240,501,0.012000
2250,501,0.034000
2260,506,0.020000
2270,509,0.016000
2280,501,0.029000
2290,512,0.021000
2300,516,0.013000
2310,508,0.023000
2320,518,0.019000
2330,518,0.017000
2340,526,0.031000
2350,527,0.018000
2360,538,0.017000
2370,523,0.011000
2380,529,0.024000
2390,540,0.028000
2400,528,0.021000
2410,543,0.017000
2420,539,0.024000
2430,542,0.016000
2440,536,0.013000
2450,549,0.037000
2460,546,0.027000
2470,559,0.021000
2480,563,0.017000
2490,555,0.030000
2500,564,0.018000
2510,560,0.027000
2520,559,0.023000
2530,570,0.029000
2540,578,0.021000
2550,564,0.033000
2560,576,0.028000
2570,577,0.022000
2580,576,0.034000
2590,574,0.027000
2600,580,0.022000
2610,585,0.024000
2620,591,0.033000
2630,590,0.016000
2640,597,0.030000
2650,592,0.018000
2660,586,0.038000
2670,591,0.028000
2680,599,0.034000
2690,604,0.022000
2700,606,0.028000
2710,609,0.033000
2720,605,0.034000
2730,615,0.019000
2740,620,0.024000
2750,618,0.032000
2760,612,0.035000
2770,618,0.027000
2780,617,0.034000
2790,636,0.032000
2800,626,0.034000
2810,631,0.033000
2820,625,0.033000
2830,630,0.033000
2840,642,0.033000
2850,632,0.021000
2860,636,0.034000
2870,644,0.043000
2880,648,0.024000
2890,658,0.044000
2900,644,0.033000
2910,652,0.033000
2920,653,0.034000
2930,655,0.037000
2940,655,0.029000
2950,652,0.033000
2960,664,0.033000
2970,672,0.034000
2980,660,0.038000
2990,664,0.045000
3000,671,0.034000
3010,672,0.033000
3020,678,0.033000
3030,686,0.049000
3040,674,0.034000
3050,681,0.032000
3060,686,0.034000
3070,687,0.049000
3080,693,0.034000
3090,701,0.034000
3100,700,0.043000
3110,695,0.039000
3120,708,0.049000
3130,691,0.051000
3140,709,0.070000
3150,705,0.046000
3160,715,0.044000
3170,712,0.037000
3180,716,0.036000
3190,712,0.047000
3200,713,0.049000
3210,706,0.042000
3220,709,0.043000
3230,725,0.029000
3240,727,0.050000
3250,716,0.051000
3260,730,0.033000
3270,738,0.034000
3280,735,0.054000
3290,731,0.029000
3300,734,0.050000
3310,745,0.034000
3320,737,0.049000
3330,755,0.053000
3340,740,0.038000
3350,755,0.042000
3360,753,0.054000
3370,751,0.046000
3380,749,0.035000
3390,769,0.035000
3400,763,0.051000
3410,762,0.053000
3420,769,0.028000
3430,760,0.056000
3440,773,0.047000
3450,772,0.029000
3460,774,0.053000
3470,772,0.047000
3480,781,0.050000
3490,791,0.050000
3500,790,0.055000
3510,786,0.044000
3520,780,0.034000
3530,789,0.051000
3540,798,0.048000
3550,789,0.053000
3560,802,0.048000
3570,799,0.063000
3580,799,0.053000
3590,808,0.050000
3600,805,0.053000
3610,801,0.053000
3620,812,0.040000
3630,822,0.049000
3640,815,0.059000
3650,822,0.054000
3660,833,0.038000
3670,834,0.050000
3680,829,0.033000
3690,823,0.067000
3700,824,0.050000
3710,838,0.055000
3720,840,0.056000
3730,835,0.056000
3740,831,0.048000
3750,845,0.065000
3760,850,0.034000
3770,851,0.070000
3780,848,0.058000
3790,858,0.060000
3800,849,0.059000
3810,856,0.034000
3820,852,0.057000
3830,858,0.046000
3840,861,0.047000
3850,869,0.053000
3860,866,0.062000
3870,864,0.071000
3880,870,0.060000
3890,868,0.058000
3900,863,0.060000
3910,896,0.059000
3920,885,0.061000
3930,887,0.057000
3940,875,0.051000
3950,884,0.063000
3960,889,0.064000
3970,900,0.066000
3980,900,0.062000
3990,900,0.063000
4000,903,0.063000
4010,897,0.065000
4020,901,0.057000
4030,901,0.065000
4040,914,0.065000
4050,900,0.065000
4060,911,0.043000
4070,922,0.067000
4080,917,0.060000
4090,917,0.062000
4100,928,0.061000
4110,917,0.068000
4120,918,0.055000
4130,931,0.070000
4140,925,0.055000
4150,949,0.068000
4160,935,0.064000
4170,943,0.070000
4180,934,0.070000
4190,935,0.070000
4200,946,0.070000
4210,946,0.070000
4220,947,0.073000
4230,949,0.057000
4240,958,0.072000
4250,947,0.080000
4260,953,0.077000
4270,972,0.063000
4280,954,0.074000
4290,960,0.075000
4300,964,0.075000
4310,976,0.075000
4320,965,0.076000
4330,966,0.079000
4340,975,0.074000
4350,980,0.065000
4360,980,0.077000
4370,979,0.075000
4380,997,0.078000
4390,993,0.064000
4400,983,0.118000
4410,985,0.084000
4420,989,0.084000
4430,999,0.051000
4440,996,0.076000
4450,1001,0.078000
4460,991,0.074000
4470,1002,0.083000
4480,997,0.068000
4490,1006,0.080000
4500,1004,0.051000
4510,1016,0.099000
4520,1010,0.085000
4530,1004,0.064000
4540,1012,0.084000
4550,1022,0.083000
4560,1028,0.067000
4570,1019,0.082000
4580,1035,0.083000
4590,1038,0.083000
4600,1027,0.083000
4610,1034,0.084000
4620,1025,0.083000
4630,1037,0.083000
4640,1039,0.104000
4650,1039,0.094000
4660,1048,0.077000
4670,1049,0.086000
4680,1057,0.070000
4690,1051,0.081000
4700,1051,0.085000
4710,1054,0.100000
4720,1075,0.081000
4730,1074,0.089000
4740,1069,0.089000
4750,1058,0.079000
4760,1075,0.090000
4770,1078,0.092000
4780,1086,0.071000
4790,1075,0.078000
4800,1085,0.091000
4810,1084,0.075000
4820,1078,0.091000
4830,1081,0.078000
4840,1093,0.089000
4850,1099,0.099000
4860,1091,0.095000
4870,1097,0.087000
4880,1094,0.100000
4890,1090,0.099000
4900,1101,0.085000
4910,1097,0.100000
4920,1102,0.085000
4930,1124,0.097000
4940,1117,0.102000
4950,1115,0.082000
4960,1108,0.100000
4970,1107,0.092000
4980,1127,0.104000
4990,1118,0.098000
5000,1116,0.088000
5010,1128,0.099000
5020,1119,0.100000
5030,1132,0.109000
5040,1133,0.089000
5050,1140,0.094000
5060,1126,0.090000
5070,1140,0.115000
5080,1142,0.084000
5090,1157,0.107000
5100,1140,0.079000
5110,1149,0.100000
5120,1149,0.112000
5130,1151,0.089000
5140,1160,0.094000
5150,1146,0.099000
5160,1148,0.107000
5170,1160,0.110000
5180,1166,0.102000
5190,1164,0.099000
5200,1175,0.090000
5210,1173,0.109000
5220,1172,0.087000
5230,1175,0.109000
5240,1172,0.101000
5250,1187,0.090000
5260,1177,0.113000
5270,1192,0.088000
5280,1186,0.109000
5290,1186,0.100000
5300,1188,0.118000
5310,1185,0.098000
5320,1203,0.117000
5330,1195,0.115000
5340,1188,0.116000
5350,1208,0.117000
5360,1203,0.117000
5370,1198,0.118000
5380,1205,0.116000
5390,1210,0.116000
5400,1207,0.117000
5410,1219,0.120000
5420,1216,0.113000
5430,1217,0.118000
5440,1211,0.083000
5450,1224,0.129000
5460,1221,0.135000
5470,1226,0.117000
5480,1227,0.115000
5490,1232,0.099000
5500,1238,0.119000
5510,1245,0.117000
5520,1252,0.101000
5530,1249,0.114000
5540,1244,0.134000
5550,1243,0.118000
5560,1252,0.133000
5570,1242,0.116000
5580,1259,0.133000
5590,1260,0.099000
5600,1269,0.118000
5610,1254,0.101000
5620,1255,0.101000
5630,1259,0.104000
5640,1288,0.095000
5650,1269,0.130000
5660,1287,0.102000
5670,1284,0.137000
5680,1268,0.129000
5690,1279,0.133000
5700,1282,0.118000
5710,1271,0.127000
5720,1288,0.153000
5730,1287,0.166000
5740,1294,0.172000
5750,1295,0.163000
5760,1293,0.181000
5770,1306,0.165000
5780,1297,0.189000
5790,1294,0.130000
5800,1298,0.171000
5810,1303,0.176000
5820,1305,0.136000
5830,1315,0.131000
5840,1318,0.183000
5850,1314,0.134000
5860,1317,0.134000
5870,1311,0.189000
5880,1330,0.141000
5890,1329,0.169000
5900,1331,0.149000
5910,1329,0.184000
5920,1349,0.181000
5930,1331,0.174000
5940,1327,0.173000
5950,1331,0.186000
5960,1347,0.142000
5970,1335,0.137000
5980,1336,0.179000
5990,1361,0.176000
6000,1344,0.144000
6010,1356,0.135000
6020,1365,0.182000
6030,1371,0.191000
6040,1370,0.173000
6050,1361,0.189000
6060,1369,0.187000
6070,1379,0.172000
6080,1381,0.184000
6090,1367,0.136000
6100,1370,0.183000
6110,1375,0.183000
6120,1363,0.198000
6130,1376,0.136000
